A0,PA0
A1,PF10
A2,PF9
A3,PF8
A4,PF7
A5,PF6
D0,PC7
D1,PC6
D2,PG6
D3,PB4
D4,PG7
D5,PA8
D6,PH6
D7,PI3
D8,PI2
D9,PA15
D10,PI0
D11,PB15
D12,PB14
D13,PI1
D14,PB9
D15,PB8
SF_CS,PE11
SF_CLK,PE12
SF_MISO,PE13
SF_MOSI,PE14
DAC1,PA4
DAC2,PA5
TP1,PH2
TP2,PI8
TP3,PH15
I2C1_SDA,PB9
I2C1_SCL,PB6
I2C2_SDA,PB11
I2C2_SCL,PB10
I2C_SMBA,PB12
I2C3_SDA,PD13
I2C3_SCL,PD12
SPI1_NSS,PA15
SPI1_SCK,PA5
SPI1_MOSI,PA7
EXT_RST,PG3
SD_D0,PC8
SD_D1,PC9
SD_D2,PC10
SD_D3,PC11
SD_CMD,PD2
SD_CK,PC12
SD,PE3
SD_SW,PE3
EXTCOMMIN,PA8
LCD_DISP,PE15
LCD_BL_CTRL,PB8
LCD_SCLK,PA5
LCD_MOSI,PA7
LCD_SCS,PA15
KBD_INT,PB12
LED1,PD4
SW,PD5
NOISE_AMP2_EN,PD8
NOISE_AMP1_EN,PD9
NOISE_BIAS_EN,PD10
NOISE_OUT2,PC0
NOISE_OUT1,PC1
BDREV_ADC,PC3
PWRMON_V,PC4
PWRMON_I,PC5
MRESET,PA1
PWD_SHDN,PB2
MCU_CTS,PA0
MCU_TX,PA2
MCU_RX,PA3
QRNG_EN,PD14
SE_SWD,PD15
DCMI_PWRDN,PE7
DCMI_HREF,PA4
DCMI_VSYNC,PB7
DCMI_PCLK,PA6
DCMI_XVCLK,PB1
DCMI_D0,PC6
DCMI_D1,PC7
DCMI_D2,PE0
DCMI_D3,PE1
DCMI_D4,PE4
DCMI_D5,PD3
DCMI_D6,PE5
DCMI_D7,PE6
CAM_DONE,PE9
CAM_RESET,PE10
USB_VBUS,PD6
USB_ID,PD7
USB_DM,PA11
USB_DP,PA12
UART1_TX,PA9
UART1_RX,PA10
UART2_TX,PA2
UART2_RX,PA3
UART3_TX,PD8
UART3_RX,PD9
